from,to
A._Sophie_Magdalene_Reuss,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
A._v._Mueffling,August_Hermann_Francke
Abraham_Marchand,Nikolaus_Schroeder
Adam_Friedrich_v_Watzdorff,Heinrich_XXIV._Koestritz
Adam_Friedrich_v_Watzdorff,Erdmuthe_Benigna_Ebersdorf
Aemilie_Juliane_Schwarzburg-Rudolstadt,Sophie_Elisabeth_Untergreiz
Aemilie_Juliane_Schwarzburg-Rudolstadt,Sophie_Elisabeth_Untergreiz
Aemilie_Juliane_Schwarzburg-Rudolstadt,Sophie_Elisabeth_Untergreiz
Aemilie_Juliane_Schwarzburg-Rudolstadt,Sophie_Elisabeth_Untergreiz
Aemilie_Juliane_Schwarzburg-Rudolstadt,Sophie_Elisabeth_Untergreiz
Aemilie_Juliane_Schwarzburg-Rudolstadt,Sophie_Elisabeth_Untergreiz
Aemilie_Juliane_Schwarzburg-Rudolstadt,Sophie_Elisabeth_Untergreiz
August_Hermann_Francke,Sophie_Charlotte_Obergreiz
August_Hermann_Francke,Heinrich_XXIII._Lobenstein
August_Hermann_Francke,Henriette_Amalie_Obergreiz
August_Hermann_Francke,Heinrich_II._Obergreiz
August_Hermann_Francke,Auguste_Dorothea_Schleiz
August_Hermann_Francke,Hermann_Burkhart_Rosler
August_Hermann_Francke,Hermann_Burkhart_Rosler
August_Hermann_Francke,Heinrich_II._Obergreiz
August_Hermann_Francke,Heinrich_II._Obergreiz
August_Hermann_Francke,Heinrich_XXIX._Ebersdorf
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Marie_Eleonore_Emilie_Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Marie_Eleonore_Emilie_Koestritz
August_Hermann_Francke,Marie_Eleonore_Emilie_Koestritz
August_Hermann_Francke,Marie_Eleonore_Emilie_Koestritz
August_Hermann_Francke,Hieronymus_Reibstein_(Pfarrer_in_Reinsdorf)
August_Hermann_Francke,Marie_Eleonore_Emilie_Koestritz
August_Hermann_Francke,Henriette_Amalie_Obergreiz
August_Hermann_Francke,Heinrich_XXIII._Lobenstein
August_Hermann_Francke,Marie_Eleonore_Emilie_Koestritz
August_Hermann_Francke,Marie_Eleonore_Emilie_Koestritz
August_Hermann_Francke,Marie_Eleonore_Emilie_Koestritz
August_Hermann_Francke,Marie_Eleonore_Emilie_Koestritz
August_Hermann_Francke,Marie_Eleonore_Emilie_Koestritz
August_Hermann_Francke,Marie_Eleonore_Emilie_Koestritz
August_Hermann_Francke,Marie_Eleonore_Emilie_Koestritz
August_Hermann_Francke,Marie_Eleonore_Emilie_Koestritz
August_Hermann_Francke,Marie_Eleonore_Emilie_Koestritz
August_Hermann_Francke,Marie_Eleonore_Emilie_Koestritz
August_Hermann_Francke,Marie_Eleonore_Emilie_Koestritz
August_Hermann_Francke,Marie_Eleonore_Emilie_Koestritz
August_Hermann_Francke,Marie_Eleonore_Emilie_Koestritz
August_Hermann_Francke,Marie_Eleonore_Emilie_Koestritz
August_Hermann_Francke,Marie_Eleonore_Emilie_Koestritz
August_Hermann_Francke,Marie_Eleonore_Emilie_Koestritz
August_Hermann_Francke,Marie_Eleonore_Emilie_Koestritz
August_Hermann_Francke,Marie_Eleonore_Emilie_Koestritz
August_Hermann_Francke,Marie_Eleonore_Emilie_Koestritz
August_Hermann_Francke,Marie_Eleonore_Emilie_Koestritz
August_Hermann_Francke,Marie_Eleonore_Emilie_Koestritz
August_Hermann_Francke,Marie_Eleonore_Emilie_Koestritz
August_Hermann_Francke,Marie_Eleonore_Emilie_Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Marie_Eleonore_Emilie_Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
